# Copyright (c) 2009-2017 Andreas Göransson <andreas.goransson@gmail.com>
# Copyright (c) 2009-2017 Indrek Ardel <indrek@ardel.eu>
#
# This file is part of Call of Duty 4 Promod.
#
# Call of Duty 4 Promod is licensed under Promod Modder Ethical Public License.
# Terms of license can be found in LICENSE.md document bundled with the project.

0,PROMOD_RECORD
1,PROMOD_SUNLIGHT
2,PROMOD_TEXTURE
3,PROMOD_FILMTWEAK
4,PROMOD_FOVSCALE
5,PROMOD_NORMALMAP
6,PROMOD_GFXBLUR

7,ASSAULT_PRIMARY
8,ASSAULT_PRIMARY_ATTACHMENT
9,ASSAULT_SECONDARY
10,ASSAULT_SECONDARY_ATTACHMENT
11,ASSAULT_GRENADE
12,ASSAULT_CAMO

13,SPECOPS_PRIMARY
14,SPECOPS_PRIMARY_ATTACHMENT
15,SPECOPS_SECONDARY
16,SPECOPS_SECONDARY_ATTACHMENT
17,SPECOPS_GRENADE
18,SPECOPS_CAMO

19,DEMOLITIONS_PRIMARY
20,DEMOLITIONS_PRIMARY_ATTACHMENT
21,DEMOLITIONS_SECONDARY
22,DEMOLITIONS_SECONDARY_ATTACHMENT
23,DEMOLITIONS_GRENADE
24,DEMOLITIONS_CAMO

25,SNIPER_PRIMARY
26,SNIPER_PRIMARY_ATTACHMENT
27,SNIPER_SECONDARY
28,SNIPER_SECONDARY_ATTACHMENT
29,SNIPER_GRENADE
30,SNIPER_CAMO

31,m16
32,ak47
33,m4
34,g3
35,g36c
36,m14
37,mp44

38,mp5
39,uzi
40,ak74u

41,winchester1200
42,m1014

43,m40a3
44,remington700

45,none
46,silencer

47,deserteaglegold
48,deserteagle
49,colt45
50,usp
51,beretta

52,flash_grenade
53,smoke_grenade

54,camo_none
55,camo_brockhaurd
56,camo_bushdweller
57,camo_blackwhitemarpat
58,camo_tigerred
59,camo_stagger
60,camo_gold
